Player,Team,AB,R,H,2B,3B,HR,RBI,TB,BB,HBP,SO,GDP,SF,SH,SB,CS
"ADOLFO, Micker",DOM,5,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0
"ADRIANZA, Ehire",VEN,12,2,4,1,0,2,5,11,2,0,5,0,0,0,0,0
"ALCÁNTARA, Arismendy",DOM,16,4,5,0,0,2,4,11,1,0,7,0,0,0,3,0
"ALVAREZ, Andres",MEX,21,3,4,0,0,0,1,4,1,0,4,0,0,0,0,0
"AMARISTA, Alexi",VEN,35,4,8,3,0,0,2,11,2,0,2,1,2,0,1,0
"ARCIA, Francisco",VEN,14,2,6,0,0,0,3,6,2,1,3,0,0,0,0,0
"ARRUEBARRUENA, Erisbel",CUB,19,0,4,1,0,0,1,5,0,1,8,0,0,0,0,0
"BALDOQUIN, Roberto",CUB,5,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0
"BALDWIN, Drake",USA,14,4,3,1,0,0,1,4,2,0,4,0,0,0,0,0
"BARRERA, Tres",MEX,6,2,1,0,0,1,1,4,1,0,2,0,0,0,0,0
"BAZZANA, Travis",AUS,19,1,5,0,0,0,1,5,2,0,6,0,0,0,2,1
"BOJARSKI, Ulrich",AUS,10,1,1,0,0,1,1,4,2,1,3,0,0,0,0,0
"BOWEY, Jake",AUS,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"CAMARGO, Johan",PAN,9,1,2,1,0,0,0,3,1,0,2,0,0,0,0,0
"CARTER, Chris",MEX,18,2,3,1,0,1,1,7,4,0,7,0,0,0,0,0
"CASTILLO, Diego",VEN,31,2,8,3,0,1,8,14,0,0,8,2,1,1,0,1
"CASTILLO, Luis",PAN,20,2,5,0,0,1,3,8,1,0,5,0,0,0,0,0
"CEBALLOS, Sabin",PUR,17,3,7,2,0,2,5,15,2,1,5,0,0,0,0,0
"CENTENO, Juan",PUR,9,0,1,0,0,0,0,1,2,1,3,0,0,0,0,1
"CESPEDES, Ricardo",DOM,14,3,5,1,0,0,0,6,1,0,3,0,0,0,1,1
"CHANG, Cheng-Yu",TPE,19,4,3,2,0,0,2,5,1,0,7,0,0,0,1,0
"CHEN, Chen-Wei",TPE,32,5,8,0,1,1,5,13,3,0,5,0,0,0,1,0
"CHEN, Chieh-Hsien",TPE,24,5,15,1,0,2,6,22,4,2,2,0,0,0,2,0
"CHIANG, Kun-Yu",TPE,24,3,7,1,1,1,4,13,2,2,6,0,0,0,0,0
"CHIU, Chih-Cheng",TPE,10,2,2,1,0,0,2,3,1,0,3,0,0,0,0,0
"CHOI, Wonjun",KOR,12,3,3,1,0,0,3,4,2,0,5,1,0,0,1,0
"CHU, Yu-Hsien",TPE,19,0,2,0,0,0,0,2,4,0,5,0,0,0,0,0
"CLEMENTINA, Hendrik",NED,21,6,7,2,0,2,5,15,1,0,7,0,0,0,0,0
"CORDERO, Andretty",DOM,19,1,4,2,0,0,0,6,0,0,3,1,0,0,0,0
"CORTES, Carlos",PUR,19,1,7,2,0,0,3,9,1,0,2,0,0,0,0,0
"COSME, Andi",CUB,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"CRAWFORD, Justin",USA,32,3,8,3,0,1,4,14,3,0,6,1,1,0,1,0
"CROES, Dayson",NED,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"DAI, Pei-Fong",TPE,11,1,4,1,0,1,1,8,0,0,2,1,0,0,0,0
"DALE, Jarryd",AUS,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DE LA CRUZ, Daneurys",DOM,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DE LEÓN, Michael",DOM,17,0,4,1,0,0,1,5,0,0,2,2,0,1,0,0
"DESPAIGNE, Alfredo",CUB,18,2,5,0,0,0,1,5,3,0,4,1,0,0,0,0
"DEVANNEY, Cam",USA,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"DEVERS, José",DOM,14,2,2,0,0,0,0,2,0,0,4,0,0,0,0,0
"DIAZ, Randal",PUR,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"DIDDER, Ray-Patrick",NED,18,2,7,1,0,1,4,11,1,0,3,2,0,0,0,0
"DRAKE, Yadir",CUB,19,4,7,1,0,1,5,11,3,0,8,1,0,0,0,0
"ELKO, Tim",USA,9,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0
"EVANS, Phillip",MEX,17,1,1,0,0,0,0,1,2,0,4,0,0,0,0,0
"FELIX, Edrick",PUR,6,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0
"FERRER, Jaime",PUR,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"FLORENTINO, Randy",DOM,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"FLORES, Ramon",VEN,24,4,4,3,0,0,2,7,5,0,3,0,0,0,0,1
"GAITAN, Alonso",MEX,19,5,10,4,0,1,4,17,3,0,7,1,0,0,0,1
"GENDA, Sosuke",JPN,18,3,5,0,0,1,2,8,3,0,4,0,0,0,0,0
"GEORGE, Darryl",AUS,16,1,5,1,0,0,1,6,3,0,6,0,0,0,0,0
"GILJEGILJAW, Kungkuan",TPE,15,2,5,1,0,1,5,9,2,0,6,1,0,0,0,0
"GLENDINNING, Robbie",AUS,14,3,3,0,0,1,1,6,2,1,7,1,0,0,1,1
"GONZALES, Fernando",PAN,18,1,4,1,0,0,0,5,0,1,6,0,0,0,0,0
"GONZÁLEZ, Pedro",DOM,8,1,2,0,0,0,0,2,1,0,2,0,0,0,0,0
"GREGORIUS, Didi",NED,22,6,11,1,0,2,4,18,0,0,2,0,0,0,0,0
"GUIBERT, Yoelkis",CUB,18,1,3,0,0,1,3,6,2,0,6,0,0,0,0,0
"GUTIERREZ, Kelvin",DOM,18,2,4,0,1,0,2,6,3,0,3,1,0,0,1,0
"HALL, Alex",AUS,17,2,3,0,1,0,1,5,2,0,4,0,0,0,0,0
"HANSON, Alen",DOM,11,0,6,2,0,0,3,8,1,0,3,2,0,1,0,1
"HELDER, Eugene",NED,8,1,2,0,0,0,0,2,0,0,1,1,0,0,0,0
"HERNANDEZ, Luis",PUR,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HINOJOSA, C.J.",MEX,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"HONG, Changki",KOR,19,4,5,0,0,0,2,5,3,1,5,0,0,0,0,0
"ISOBATA, Ryota",JPN,9,3,2,1,0,0,2,3,0,1,2,0,0,0,2,1
"JOHNSON, Termarr",USA,29,9,9,0,0,1,2,12,6,0,9,0,0,0,1,0
"KEMP, Dwayne",NED,13,5,4,2,0,1,3,9,1,1,1,0,0,0,0,0
"KENNELLY, Tim",AUS,18,2,5,1,0,0,1,6,2,1,6,0,0,0,0,0
"KIM, Doyeong",KOR,17,4,7,2,0,3,10,18,1,0,3,0,0,0,1,0
"KIM, Hyungjun",KOR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIM, Juwon",KOR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"KIM, Wheejip",KOR,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"KIYOMIYA, Kotaro",JPN,15,2,3,0,1,0,2,5,1,0,2,0,0,0,0,0
"KOGA, Yuto",JPN,5,1,1,0,0,0,1,1,1,0,3,0,0,0,0,0
"KOZONO, Kaito",JPN,31,5,12,1,1,2,8,21,3,0,5,0,0,0,3,1
"KUREBAYASHI, Kotaro",JPN,18,3,5,0,0,0,5,5,2,0,5,1,1,0,0,0
"KURIHARA, Ryoya",JPN,23,4,6,2,0,0,5,8,6,2,5,0,1,0,1,0
"KUWAHARA, Masayuki",JPN,29,8,6,0,0,0,1,6,3,1,5,0,0,2,0,0
"LEE, Juhyeong",KOR,8,1,1,0,0,0,0,1,0,0,6,0,0,0,0,0
"LI, Kai-Wei",TPE,13,2,1,0,0,0,0,1,2,0,2,0,0,0,0,0
"LIN, An-Ko",TPE,15,1,3,1,0,1,1,7,0,1,5,0,0,0,0,0
"LIN, Chia-Cheng",TPE,27,2,4,1,0,1,1,8,1,0,9,1,0,0,0,0
"LIN, Li",TPE,32,6,10,1,0,1,7,14,2,0,7,0,1,0,4,0
"MACHADO, Dixon",VEN,4,0,2,0,0,0,1,2,0,0,2,0,0,0,0,0
"MACIVER, Willie",USA,9,0,1,1,0,0,0,2,1,0,5,0,0,0,0,0
"MAGUIRE, Solomon",AUS,5,1,1,0,0,1,1,4,0,0,1,0,0,0,0,0
"MAKI, Shugo",JPN,29,2,7,2,0,1,8,12,2,0,6,1,0,0,0,0
"MARTINEZ, Ariel",CUB,18,0,3,1,0,0,0,4,2,1,3,1,0,0,0,0
"MIESES, Luís",DOM,6,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"MONCADA, Yoan",CUB,14,0,2,0,0,0,1,2,0,1,6,0,0,0,0,0
"MONTES, John",PUR,7,2,1,0,0,1,1,4,0,1,3,0,0,1,0,0
"MOON, Bogyeong",KOR,18,2,5,2,0,0,1,7,0,0,8,0,0,0,0,0
"MOORE, Logan",MEX,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"MORISHITA, Shota",JPN,28,13,10,3,0,1,9,16,5,2,1,1,2,0,1,0
"MUJICA, Yadir",CUB,8,1,1,0,0,0,0,1,1,0,2,0,0,1,0,0
"MULLEN, Robert",PAN,6,1,1,1,0,0,0,2,0,0,2,0,0,0,0,0
"MURABAYASHI, Itsuki",JPN,11,1,2,0,0,1,1,5,0,0,2,0,0,0,0,0
"MUÑOZ, Edgard",PAN,22,3,6,1,0,1,2,10,0,0,3,0,0,0,0,0
"NA, Seungyeup",KOR,8,2,2,0,0,1,1,5,1,0,4,1,0,0,1,0
"NÚÑEZ, Rainer",DOM,19,1,2,1,0,0,2,3,0,0,5,1,0,0,0,0
"OKEY, Chris",USA,11,3,3,0,0,0,1,3,1,0,4,0,0,0,0,0
"ORNELAS, Julian",MEX,12,2,1,0,0,0,0,1,2,0,4,0,0,0,0,0
"OROZCO, Rodrigo",PAN,9,1,3,0,0,1,1,6,0,0,3,0,0,0,0,0
"PAGAN, Ezequiel",PUR,16,3,6,0,1,2,3,14,3,0,6,0,0,0,0,0
"PALACIOS, Jermaine",VEN,29,7,6,0,0,2,3,12,5,0,9,0,0,1,0,0
"PAN, Chieh-Kai",TPE,32,3,10,1,0,1,2,14,4,0,6,4,0,1,0,2
"PARK, Dongwon",KOR,16,2,6,2,0,1,3,11,0,0,4,1,0,0,0,0
"PARK, Seonghan",KOR,14,4,5,0,1,0,2,7,2,0,3,0,0,0,2,0
"PEREZ, Andrys",CUB,8,0,3,0,0,0,0,3,3,0,2,0,0,0,0,0
"PEREZ, Carlos",VEN,25,3,9,2,0,1,3,14,0,2,4,0,0,0,0,0
"PEREZ, Juan",MEX,17,3,4,0,0,1,4,7,2,0,5,0,0,0,0,1
"PERKINS, Robbie",AUS,14,2,3,0,0,2,5,9,0,0,9,0,1,0,0,0
"PROFAR, Juremi",NED,21,0,5,1,0,0,3,6,0,0,0,2,1,0,0,0
"PÉREZ, Carlos",VEN,26,6,9,1,0,3,7,19,2,1,4,1,1,0,0,0
"PÉREZ, Hernán",VEN,15,6,8,2,0,2,3,16,2,0,1,0,0,0,0,2
"QUIROZ, Carlos Xavier",PAN,19,2,5,1,0,1,4,9,0,0,3,0,1,0,0,0
"RAMOS, Jose",PAN,17,2,2,0,0,1,3,5,2,0,10,0,0,0,1,0
"REYES, Angel",VEN,28,3,6,1,0,1,3,10,1,0,7,3,0,1,0,1
"RICHARDSON, Denzel",NED,20,4,8,3,0,2,3,17,0,0,3,1,0,0,0,0
"RITTER, Luke",USA,32,5,6,2,0,1,2,11,6,1,13,0,1,0,0,0
"RIVERA, Yadiel",PUR,14,0,3,1,0,0,2,4,1,0,4,0,0,0,1,1
"RODRIGUEZ, Abraham",PAN,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RODRIGUEZ, Christian",CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RODRIGUEZ, David",VEN,11,1,2,0,0,0,0,2,1,0,4,0,0,0,0,0
"RODRIGUEZ, Herlis",VEN,29,5,8,1,0,1,3,12,2,0,9,0,0,1,0,0
"RODRÍGUEZ, Frank",DOM,8,2,1,0,0,0,1,1,3,0,2,0,0,0,0,0
"ROJAS, Jose",MEX,15,1,4,0,0,1,6,7,4,0,3,0,1,0,1,0
"ROSS, Shawn",PUR,19,1,2,0,0,0,1,2,1,0,8,0,0,0,0,0
"SAKAKURA, Shogo",JPN,18,6,8,1,0,1,4,12,5,3,3,0,0,0,0,0
"SANCHEZ, Asael",MEX,6,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0
"SANO, keita",JPN,28,3,9,1,0,0,2,10,1,0,5,0,1,0,1,0
"SANTOS, Jhonny",PAN,18,4,7,4,1,2,3,19,1,0,3,0,1,0,0,0
"SANTOS, Roel",CUB,20,5,6,0,1,0,0,8,3,0,2,0,0,0,0,0
"SATO, Toshiya",JPN,11,3,5,1,0,0,3,6,2,0,1,0,1,0,0,0
"SCHOOP, Jonathan",NED,18,5,6,3,1,0,5,11,4,0,3,2,0,0,0,0
"SCHOOP, Sharlon",NED,20,3,9,0,0,2,5,15,1,0,1,0,0,0,0,0
"SELASSA, Delano",NED,11,4,5,1,0,0,0,6,1,0,1,0,0,0,0,0
"SHAW, Matt",USA,34,7,14,2,1,2,14,24,6,1,5,1,1,0,3,0
"SHIN, Minjae",KOR,14,4,2,0,0,0,1,2,0,1,2,0,0,3,1,0
"SIMPSON, Chandler",USA,37,8,17,2,0,0,6,19,4,0,1,1,1,1,9,0
"SONG, Sungmun",KOR,13,1,2,0,0,0,1,2,2,0,3,0,0,0,1,0
"SPENCE, Liam",AUS,4,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0
"TATSUMI, Ryosuke",JPN,29,6,9,3,0,0,5,12,6,2,7,0,1,0,1,1
"TEJADA, Ruben",PAN,15,5,3,1,0,2,4,10,3,1,2,0,1,0,1,0
"THOMAS, Colby",USA,29,4,6,1,0,2,4,13,4,4,12,1,0,0,2,0
"TOMSJANSEN, Rushenten",NED,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TORRES, Victor",PUR,7,2,2,1,0,0,0,3,0,0,2,0,0,0,0,0
"TREJO, Alan",MEX,13,2,5,3,0,2,5,14,1,1,4,1,0,0,1,0
"TSENG, Song-En",TPE,17,1,4,3,0,0,3,7,5,0,7,1,0,0,0,0
"VAN BORKULO, Jair",NED,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAN DER MEER, Stijn",NED,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAZ, Javier",PUR,16,3,3,1,0,0,0,4,6,0,4,1,0,0,0,1
"VILLEGAS, Edgardo",PUR,17,3,3,0,0,0,0,3,3,0,6,1,0,0,0,0
"VIÑALES, Rafael",CUB,5,1,1,0,0,1,1,4,0,0,0,1,0,0,0,0
"WALTERS, Jean Harvin",CUB,12,1,2,0,0,0,0,2,0,0,3,1,0,1,1,0
"WARD, Ryan",USA,26,6,8,0,0,5,11,23,4,1,12,0,1,0,0,1
"WHITEFIELD, Aaron",AUS,20,1,4,0,0,0,0,4,1,0,5,0,0,0,0,1
"WILLIAMS, Carson",USA,31,2,8,5,0,0,4,13,7,0,12,0,1,0,4,0
"WILSON, Alexis",MEX,9,1,0,0,0,0,0,0,0,1,3,1,0,0,1,0
"WINGROVE, Rixon",AUS,19,2,5,1,0,1,3,9,1,0,5,0,0,0,0,0
"WRIGHT, Joshwan",PAN,11,0,3,1,0,0,1,4,1,0,1,0,0,0,0,0
"YOON, Donghee",KOR,17,0,3,1,0,0,1,4,1,0,9,0,0,0,0,0
"YUEH, Tung-Hua",TPE,16,3,3,0,0,0,1,3,2,0,8,0,0,0,0,0
